'Elapsed time','II','III','V','MCL1','ABP','PAP'
'58:02:08.472',-,-,1.088,0.000,76.800,-
'58:02:08.480',-,-,0.538,0.000,80.800,-
'58:02:08.488',-,-,0.363,-0.079,84.800,-
'58:02:08.496',-,-,0.538,-0.167,88.000,-
'58:02:08.504',-,-,-0.176,-0.167,91.200,-
'58:02:08.512',-,-,-0.451,-0.246,93.600,-
'58:02:08.520',-,-,1.538,-0.167,95.200,-
'58:02:08.528',-,-,2.363,-0.412,96.000,-
'58:02:08.536',-,-,1.538,-0.579,96.000,-
'58:02:08.544',-,-,0.901,-0.746,96.000,-
'58:02:08.552',-,-,-0.725,-0.833,94.400,-
'58:02:08.560',-,-,-2.813,-0.746,92.800,-
'58:02:08.568',-,-,-4.000,-0.412,91.200,-
'58:02:08.576',-,-,-4.000,0.000,88.800,-
'58:02:08.584',-,-,0.176,0.167,85.600,-
'58:02:08.592',-,-,-0.363,0.079,83.200,-
'58:02:08.600',-,-,0.264,0.000,80.000,-
'58:02:08.608',-,-,0.538,0.000,76.800,-
'58:02:08.616',-,-,-1.000,-0.079,74.400,-
'58:02:08.624',-,-,0.451,0.000,72.000,-
'58:02:08.632',-,-,0.000,-0.167,68.800,-
'58:02:08.640',-,-,-1.363,-0.167,67.200,-
'58:02:08.648',-,-,-2.363,-0.079,64.800,-
'58:02:08.656',-,-,-2.451,0.079,64.000,-
'58:02:08.664',-,-,-1.626,0.167,62.400,-
'58:02:08.672',-,-,-1.088,0.333,62.400,-
'58:02:08.680',-,-,-0.725,0.333,61.600,-
'58:02:08.688',-,-,-1.000,0.246,61.600,-
'58:02:08.696',-,-,-1.176,0.333,61.600,-
'58:02:08.704',-,-,-1.088,0.333,61.600,-
'58:02:08.712',-,-,-0.813,0.333,62.400,-
'58:02:08.720',-,-,-0.626,0.333,63.200,-
'58:02:08.728',-,-,-0.451,0.333,64.000,-
'58:02:08.736',-,-,-0.451,0.333,64.800,-
'58:02:08.744',-,-,-0.538,0.333,65.600,-
'58:02:08.752',-,-,-0.626,0.333,66.400,-
'58:02:08.760',-,-,-0.725,0.333,67.200,-
'58:02:08.768',-,-,-0.901,0.333,68.000,-
'58:02:08.776',-,-,-1.363,0.333,68.800,-
'58:02:08.784',-,-,-1.626,-0.167,68.800,-
'58:02:08.792',-,-,-0.264,-0.667,68.800,-
'58:02:08.800',-,-,-0.176,-1.500,69.600,-
'58:02:08.808',-,-,-1.264,-1.746,69.600,-
'58:02:08.816',-,-,-1.176,-1.500,68.800,-
'58:02:08.824',-,-,-2.626,-1.079,68.800,-
'58:02:08.832',-,-,-1.626,-0.746,68.800,-
'58:02:08.840',-,-,0.176,-0.579,68.000,-
'58:02:08.848',-,-,0.176,-0.500,67.200,-
'58:02:08.856',-,-,-0.176,-0.412,66.400,-
'58:02:08.864',-,-,0.000,-0.246,66.400,-
'58:02:08.872',-,-,-0.088,-0.167,65.600,-
'58:02:08.880',-,-,-0.176,-0.079,64.800,-
'58:02:08.888',-,-,-0.538,0.000,64.800,-
'58:02:08.896',-,-,-1.000,0.167,64.000,-
'58:02:08.904',-,-,-1.088,0.333,63.200,-
'58:02:08.912',-,-,-1.176,0.500,63.200,-
'58:02:08.920',-,-,-1.000,0.667,63.200,-
'58:02:08.928',-,-,-0.725,0.746,62.400,-
'58:02:08.936',-,-,-0.451,0.912,62.400,-
'58:02:08.944',-,-,-0.176,0.912,62.400,-
'58:02:08.952',-,-,0.000,0.912,62.400,-
'58:02:08.960',-,-,0.088,0.912,62.400,-
'58:02:08.968',-,-,0.176,0.912,62.400,-
'58:02:08.976',-,-,0.176,0.912,63.200,-
'58:02:08.984',-,-,0.176,0.912,64.800,-
'58:02:08.992',-,-,0.363,0.912,67.200,-
'58:02:09.000',-,-,0.264,0.912,71.200,-
'58:02:09.008',-,-,0.451,0.912,75.200,-
'58:02:09.016',-,-,0.538,0.833,80.000,-
'58:02:09.024',-,-,0.538,0.833,84.800,-
'58:02:09.032',-,-,0.538,0.746,89.600,-
'58:02:09.040',-,-,0.725,0.667,94.400,-
'58:02:09.048',-,-,0.451,0.579,99.200,-
'58:02:09.056',-,-,0.538,0.500,102.400,-
'58:02:09.064',-,-,0.451,0.412,105.600,-
'58:02:09.072',-,-,0.363,0.333,108.000,-
'58:02:09.080',-,-,0.176,0.246,109.600,-
'58:02:09.088',-,-,0.088,0.167,110.400,-
'58:02:09.096',-,-,0.000,0.079,110.400,-
'58:02:09.104',-,-,0.000,0.000,109.600,-
'58:02:09.112',-,-,-0.088,0.000,108.000,-
'58:02:09.120',-,-,-0.176,0.000,106.400,-
'58:02:09.128',-,-,-0.088,0.000,104.000,-
'58:02:09.136',-,-,-0.176,0.000,101.600,-
'58:02:09.144',-,-,-0.176,0.000,98.400,-
'58:02:09.152',-,-,-0.264,0.000,95.200,-
'58:02:09.160',-,-,-0.176,0.000,92.800,-
'58:02:09.168',-,-,-0.264,0.000,89.600,-
'58:02:09.176',-,-,-0.176,0.000,86.400,-
'58:02:09.184',-,-,-0.264,0.000,84.000,-
'58:02:09.192',-,-,-0.176,0.000,80.800,-
'58:02:09.200',-,-,-0.451,-0.079,77.600,-
'58:02:09.208',-,-,-0.264,-0.079,75.200,-
'58:02:09.216',-,-,-0.264,-0.079,72.800,-
'58:02:09.224',-,-,-0.176,-0.079,71.200,-
'58:02:09.232',-,-,-0.264,-0.079,68.800,-
'58:02:09.240',-,-,-0.176,-0.079,68.000,-
'58:02:09.248',-,-,-0.264,0.000,66.400,-
'58:02:09.256',-,-,-0.264,-0.079,65.600,-
'58:02:09.264',-,-,-0.176,-0.079,65.600,-
'58:02:09.272',-,-,-0.363,-0.079,65.600,-
'58:02:09.280',-,-,-0.264,-0.079,65.600,-
'58:02:09.288',-,-,-0.363,-0.079,65.600,-
'58:02:09.296',-,-,-0.176,-0.079,66.400,-
'58:02:09.304',-,-,-0.264,-0.079,66.400,-
'58:02:09.312',-,-,-0.264,-0.079,67.200,-
'58:02:09.320',-,-,-0.176,-0.079,68.000,-
'58:02:09.328',-,-,-0.264,0.000,68.800,-
'58:02:09.336',-,-,-0.363,-0.079,69.600,-
'58:02:09.344',-,-,-0.176,0.000,69.600,-
'58:02:09.352',-,-,-0.813,-0.579,70.400,-
'58:02:09.360',-,-,-1.363,-1.167,70.400,-
'58:02:09.368',-,-,-2.000,-1.833,70.400,-
'58:02:09.376',-,-,-2.176,-2.167,71.200,-
'58:02:09.384',-,-,-1.813,-2.000,71.200,-
'58:02:09.392',-,-,-1.264,-1.500,70.400,-
'58:02:09.400',-,-,-1.088,-1.246,70.400,-
'58:02:09.408',-,-,-1.000,-1.000,70.400,-
'58:02:09.416',-,-,-0.813,-0.746,69.600,-
'58:02:09.424',-,-,-0.451,-0.579,69.600,-
'58:02:09.432',-,-,-0.363,-0.412,68.800,-
'58:02:09.440',-,-,-0.088,-0.246,68.000,-
'58:02:09.448',-,-,0.000,-0.167,67.200,-
'58:02:09.456',-,-,0.176,0.000,67.200,-
'58:02:09.464',-,-,0.363,0.000,66.400,-
'58:02:09.472',-,-,0.538,0.079,65.600,-
'58:02:09.480',-,-,0.626,0.167,65.600,-
'58:02:09.488',-,-,0.725,0.167,64.800,-
'58:02:09.496',-,-,0.538,0.246,64.800,-
'58:02:09.504',-,-,0.538,0.333,64.800,-
'58:02:09.512',-,-,0.538,0.333,64.000,-
'58:02:09.520',-,-,0.626,0.333,64.000,-
'58:02:09.528',-,-,0.538,0.333,64.000,-
'58:02:09.536',-,-,0.813,0.333,64.000,-
'58:02:09.544',-,-,1.088,0.412,64.000,-
'58:02:09.552',-,-,0.813,0.333,65.600,-
'58:02:09.560',-,-,0.626,0.333,67.200,-
'58:02:09.568',-,-,0.363,0.333,70.400,-
'58:02:09.576',-,-,0.538,0.333,74.400,-
'58:02:09.584',-,-,0.725,0.333,78.400,-
'58:02:09.592',-,-,0.725,0.333,83.200,-
'58:02:09.600',-,-,0.538,0.333,87.200,-
'58:02:09.608',-,-,0.538,0.246,92.000,-
'58:02:09.616',-,-,0.626,0.246,96.000,-
'58:02:09.624',-,-,0.725,0.167,100.000,-
'58:02:09.632',-,-,0.725,0.079,102.400,-
'58:02:09.640',-,-,0.725,0.000,104.800,-
'58:02:09.648',-,-,0.538,0.000,106.400,-
'58:02:09.656',-,-,1.264,-0.079,108.000,-
'58:02:09.664',-,-,0.725,-0.246,108.000,-
'58:02:09.672',-,-,0.176,-0.333,107.200,-
'58:02:09.680',-,-,0.000,-0.333,106.400,-
'58:02:09.688',-,-,0.176,-0.246,104.800,-
'58:02:09.696',-,-,0.264,-0.333,102.400,-
'58:02:09.704',-,-,-0.363,-0.333,100.000,-
'58:02:09.712',-,-,-0.451,-0.246,97.600,-
'58:02:09.720',-,-,-0.538,-0.167,95.200,-
'58:02:09.728',-,-,-0.451,-0.167,92.000,-
'58:02:09.736',-,-,-0.538,0.000,89.600,-
'58:02:09.744',-,-,-0.363,0.000,86.400,-
'58:02:09.752',-,-,-0.363,0.000,84.000,-
'58:02:09.760',-,-,-0.363,0.000,81.600,-
'58:02:09.768',-,-,-0.451,0.000,78.400,-
'58:02:09.776',-,-,-0.363,0.000,76.000,-
'58:02:09.784',-,-,-0.363,0.000,73.600,-
'58:02:09.792',-,-,-0.264,0.000,71.200,-
'58:02:09.800',-,-,-0.264,0.000,69.600,-
'58:02:09.808',-,-,-0.176,0.000,68.800,-
'58:02:09.816',-,-,-0.264,0.000,67.200,-
'58:02:09.824',-,-,-0.176,0.000,67.200,-
'58:02:09.832',-,-,-0.176,0.000,66.400,-
'58:02:09.840',-,-,-0.176,0.000,66.400,-
'58:02:09.848',-,-,-0.176,0.000,66.400,-
'58:02:09.856',-,-,-0.088,0.000,67.200,-
'58:02:09.864',-,-,-0.176,0.000,67.200,-
'58:02:09.872',-,-,-0.088,0.000,68.000,-
'58:02:09.880',-,-,-0.088,0.000,68.800,-
'58:02:09.888',-,-,-0.176,0.000,69.600,-
'58:02:09.896',-,-,-0.088,0.000,70.400,-
'58:02:09.904',-,-,-0.176,0.000,70.400,-
'58:02:09.912',-,-,-0.088,0.000,71.200,-
'58:02:09.920',-,-,-0.264,0.079,72.000,-
'58:02:09.928',-,-,-1.000,-0.746,72.000,-
'58:02:09.936',-,-,-1.626,-1.500,72.000,-
'58:02:09.944',-,-,-2.088,-2.079,72.000,-
'58:02:09.952',-,-,-2.176,-2.167,72.000,-
'58:02:09.960',-,-,-1.451,-1.667,71.200,-
'58:02:09.968',-,-,-1.176,-1.333,71.200,-
'58:02:09.976',-,-,-1.000,-1.079,70.400,-
'58:02:09.984',-,-,-0.813,-0.746,70.400,-
'58:02:09.992',-,-,-0.626,-0.579,69.600,-
'58:02:10.000',-,-,-0.451,-0.412,68.800,-
'58:02:10.008',-,-,-0.176,-0.246,68.000,-
'58:02:10.016',-,-,-0.088,-0.079,67.200,-
'58:02:10.024',-,-,0.000,0.000,67.200,-
'58:02:10.032',-,-,0.088,0.079,66.400,-
'58:02:10.040',-,-,0.264,0.167,65.600,-
'58:02:10.048',-,-,0.264,0.246,65.600,-
'58:02:10.056',-,-,0.363,0.333,64.800,-
'58:02:10.064',-,-,0.363,0.500,64.800,-
'58:02:10.072',-,-,0.538,0.500,64.800,-
'58:02:10.080',-,-,0.538,0.500,64.000,-
'58:02:10.088',-,-,0.626,0.500,64.000,-
'58:02:10.096',-,-,0.626,0.500,64.000,-
'58:02:10.104',-,-,0.538,0.500,64.000,-
'58:02:10.112',-,-,0.813,0.500,64.800,-
'58:02:10.120',-,-,0.725,0.500,65.600,-
'58:02:10.128',-,-,0.813,0.500,67.200,-
'58:02:10.136',-,-,0.813,0.500,70.400,-
'58:02:10.144',-,-,0.813,0.500,74.400,-
'58:02:10.152',-,-,0.725,0.500,79.200,-
'58:02:10.160',-,-,0.725,0.500,84.000,-
'58:02:10.168',-,-,0.725,0.412,88.800,-
'58:02:10.176',-,-,0.725,0.412,93.600,-
'58:02:10.184',-,-,0.725,0.333,98.400,-
'58:02:10.192',-,-,1.000,0.333,102.400,-
'58:02:10.200',-,-,0.626,0.167,105.600,-
'58:02:10.208',-,-,0.538,0.167,108.000,-
'58:02:10.216',-,-,0.363,0.000,110.400,-
'58:02:10.224',-,-,0.264,0.000,111.200,-
'58:02:10.232',-,-,0.088,0.000,112.000,-
'58:02:10.240',-,-,0.000,0.000,111.200,-
'58:02:10.248',-,-,0.088,-0.079,110.400,-
'58:02:10.256',-,-,0.000,-0.079,108.800,-
'58:02:10.264',-,-,0.176,-0.079,107.200,-
'58:02:10.272',-,-,0.264,-0.167,104.800,-
'58:02:10.280',-,-,0.363,-0.167,102.400,-
'58:02:10.288',-,-,0.176,-0.167,99.200,-
'58:02:10.296',-,-,0.363,-0.167,96.000,-
'58:02:10.304',-,-,0.264,-0.167,93.600,-
'58:02:10.312',-,-,0.363,-0.167,90.400,-
'58:02:10.320',-,-,0.363,-0.167,87.200,-
'58:02:10.328',-,-,0.176,-0.167,84.800,-
'58:02:10.336',-,-,0.000,-0.167,81.600,-
'58:02:10.344',-,-,0.176,-0.167,79.200,-
'58:02:10.352',-,-,0.000,-0.246,76.800,-
'58:02:10.360',-,-,0.088,-0.246,74.400,-
'58:02:10.368',-,-,0.000,-0.246,72.000,-
'58:02:10.376',-,-,0.000,-0.167,70.400,-
'58:02:10.384',-,-,0.088,-0.246,68.800,-
'58:02:10.392',-,-,0.176,-0.167,68.000,-
'58:02:10.400',-,-,0.264,-0.246,67.200,-
'58:02:10.408',-,-,0.176,-0.246,66.400,-
'58:02:10.416',-,-,0.176,-0.246,66.400,-
'58:02:10.424',-,-,0.088,-0.246,66.400,-
'58:02:10.432',-,-,0.000,-0.246,66.400,-
'58:02:10.440',-,-,0.000,-0.246,66.400,-
'58:02:10.448',-,-,0.000,-0.167,67.200,-
'58:02:10.456',-,-,0.176,-0.167,68.000,-
'58:02:10.464',-,-,0.264,-0.167,68.000,-
'58:02:10.472',-,-,0.363,-0.167,68.800,-
'58:02:10.480',-,-,0.264,-0.167,68.800,-
'58:02:10.488',-,-,0.176,-0.167,68.800,-
'58:02:10.496',-,-,-0.363,-0.667,69.600,-
'58:02:10.504',-,-,-1.000,-1.412,69.600,-
'58:02:10.512',-,-,-1.725,-2.167,69.600,-
'58:02:10.520',-,-,-1.901,-2.579,68.800,-
'58:02:10.528',-,-,-1.626,-2.246,68.800,-
'58:02:10.536',-,-,-1.264,-1.833,68.800,-
'58:02:10.544',-,-,-1.000,-1.412,68.000,-
'58:02:10.552',-,-,-0.813,-1.079,68.000,-
'58:02:10.560',-,-,-0.538,-0.833,67.200,-
'58:02:10.568',-,-,-0.264,-0.579,66.400,-
'58:02:10.576',-,-,0.000,-0.500,66.400,-
'58:02:10.584',-,-,-0.088,-0.333,65.600,-
'58:02:10.592',-,-,0.000,-0.167,64.800,-
'58:02:10.600',-,-,-0.451,0.000,64.000,-
'58:02:10.608',-,-,-0.626,0.079,64.000,-
'58:02:10.616',-,-,-0.626,0.333,63.200,-
'58:02:10.624',-,-,-0.264,0.412,63.200,-
'58:02:10.632',-,-,-0.176,0.500,62.400,-
'58:02:10.640',-,-,0.000,0.667,62.400,-
'58:02:10.648',-,-,0.000,0.667,61.600,-
'58:02:10.656',-,-,0.088,0.746,61.600,-
'58:02:10.664',-,-,0.088,0.746,61.600,-
'58:02:10.672',-,-,0.264,0.833,60.800,-
'58:02:10.680',-,-,0.363,0.833,60.800,-
'58:02:10.688',-,-,0.264,0.833,60.800,-
'58:02:10.696',-,-,0.363,0.833,60.800,-
'58:02:10.704',-,-,0.363,0.833,61.600,-
'58:02:10.712',-,-,0.538,0.833,63.200,-
'58:02:10.720',-,-,0.538,0.833,65.600,-
'58:02:10.728',-,-,0.538,0.746,68.800,-
'58:02:10.736',-,-,0.451,0.746,72.800,-
'58:02:10.744',-,-,0.451,0.667,77.600,-
'58:02:10.752',-,-,0.363,0.667,81.600,-
'58:02:10.760',-,-,0.451,0.579,85.600,-
'58:02:10.768',-,-,0.363,0.500,89.600,-
'58:02:10.776',-,-,0.264,0.500,93.600,-
'58:02:10.784',-,-,0.176,0.412,96.800,-
'58:02:10.792',-,-,0.176,0.333,99.200,-
'58:02:10.800',-,-,0.088,0.333,100.800,-
'58:02:10.808',-,-,0.176,0.246,102.400,-
'58:02:10.816',-,-,0.000,0.167,102.400,-
'58:02:10.824',-,-,0.000,0.167,101.600,-
'58:02:10.832',-,-,0.000,0.167,100.800,-
'58:02:10.840',-,-,0.000,0.079,99.200,-
'58:02:10.848',-,-,-0.088,0.079,96.800,-
'58:02:10.856',-,-,0.000,0.079,94.400,-
'58:02:10.864',-,-,0.000,0.079,92.000,-
'58:02:10.872',-,-,0.000,0.079,88.800,-
'58:02:10.880',-,-,0.000,0.079,85.600,-
'58:02:10.888',-,-,0.000,0.079,82.400,-
'58:02:10.896',-,-,0.000,0.167,80.000,-
'58:02:10.904',-,-,0.000,0.167,76.800,-
'58:02:10.912',-,-,0.000,0.079,73.600,-
'58:02:10.920',-,-,0.000,0.000,71.200,-
'58:02:10.928',-,-,0.000,0.000,68.800,-
'58:02:10.936',-,-,-0.088,0.000,66.400,-
'58:02:10.944',-,-,0.000,0.000,64.000,-
'58:02:10.952',-,-,0.176,0.000,62.400,-
'58:02:10.960',-,-,0.363,0.000,61.600,-
'58:02:10.968',-,-,0.363,0.000,60.800,-
'58:02:10.976',-,-,0.176,0.000,60.000,-
'58:02:10.984',-,-,0.000,-0.079,60.000,-
'58:02:10.992',-,-,0.176,-0.079,60.000,-
'58:02:11.000',-,-,0.176,-0.079,60.000,-
'58:02:11.008',-,-,0.363,-0.079,60.800,-
'58:02:11.016',-,-,0.264,-0.167,61.600,-
'58:02:11.024',-,-,0.264,-0.167,62.400,-
'58:02:11.032',-,-,0.176,-0.167,63.200,-
'58:02:11.040',-,-,0.000,-0.167,64.000,-
'58:02:11.048',-,-,0.000,-0.167,64.800,-
'58:02:11.056',-,-,0.000,-0.079,65.600,-
'58:02:11.064',-,-,-0.088,-0.079,65.600,-
'58:02:11.072',-,-,-0.176,0.000,66.400,-
'58:02:11.080',-,-,-0.813,-0.746,66.400,-
'58:02:11.088',-,-,-1.264,-1.246,67.200,-
'58:02:11.096',-,-,-1.813,-1.746,67.200,-
'58:02:11.104',-,-,-2.088,-2.079,67.200,-
'58:02:11.112',-,-,-1.725,-1.833,66.400,-
'58:02:11.120',-,-,-1.264,-1.333,66.400,-
'58:02:11.128',-,-,-1.088,-1.079,65.600,-
'58:02:11.136',-,-,-0.813,-0.746,65.600,-
'58:02:11.144',-,-,-0.626,-0.579,64.800,-
'58:02:11.152',-,-,-0.451,-0.412,64.000,-
'58:02:11.160',-,-,-0.264,-0.246,64.000,-
'58:02:11.168',-,-,-0.088,-0.167,63.200,-
'58:02:11.176',-,-,0.000,0.000,63.200,-
'58:02:11.184',-,-,0.000,0.000,62.400,-
'58:02:11.192',-,-,0.176,0.167,62.400,-
'58:02:11.200',-,-,0.176,0.246,62.400,-
'58:02:11.208',-,-,0.363,0.333,62.400,-
'58:02:11.216',-,-,0.363,0.412,62.400,-
'58:02:11.224',-,-,0.538,0.500,62.400,-
'58:02:11.232',-,-,0.451,0.500,62.400,-
'58:02:11.240',-,-,0.538,0.500,63.200,-
'58:02:11.248',-,-,0.538,0.500,63.200,-
'58:02:11.256',-,-,0.538,0.579,63.200,-
'58:02:11.264',-,-,0.538,0.579,64.000,-
'58:02:11.272',-,-,0.538,0.579,64.800,-
'58:02:11.280',-,-,0.538,0.579,65.600,-
'58:02:11.288',-,-,0.538,0.579,67.200,-
'58:02:11.296',-,-,0.538,0.579,70.400,-
'58:02:11.304',-,-,0.538,0.579,74.400,-
'58:02:11.312',-,-,0.538,0.579,79.200,-
'58:02:11.320',-,-,0.538,0.500,84.000,-
'58:02:11.328',-,-,0.538,0.500,89.600,-
'58:02:11.336',-,-,0.538,0.500,94.400,-
'58:02:11.344',-,-,0.538,0.412,99.200,-
'58:02:11.352',-,-,0.451,0.412,104.000,-
'58:02:11.360',-,-,0.363,0.333,108.000,-
'58:02:11.368',-,-,0.264,0.246,110.400,-
'58:02:11.376',-,-,0.264,0.246,112.800,-
'58:02:11.384',-,-,0.176,0.167,114.400,-
'58:02:11.392',-,-,0.176,0.167,114.400,-
'58:02:11.400',-,-,0.088,0.167,114.400,-
'58:02:11.408',-,-,0.176,0.079,113.600,-
'58:02:11.416',-,-,0.000,0.000,112.000,-
'58:02:11.424',-,-,0.000,0.000,109.600,-
'58:02:11.432',-,-,0.000,0.000,107.200,-
'58:02:11.440',-,-,0.000,0.000,104.000,-
'58:02:11.448',-,-,0.000,0.000,100.800,-
'58:02:11.456',-,-,0.000,0.000,98.400,-
'58:02:11.464',-,-,0.000,0.000,95.200,-
'58:02:11.472',-,-,0.000,0.000,92.000,-
'58:02:11.480',-,-,0.000,0.000,88.800,-
'58:02:11.488',-,-,0.000,0.000,85.600,-
'58:02:11.496',-,-,0.000,0.000,83.200,-
'58:02:11.504',-,-,0.000,0.000,80.800,-
'58:02:11.512',-,-,0.000,0.000,78.400,-
'58:02:11.520',-,-,0.000,0.000,76.000,-
'58:02:11.528',-,-,0.000,0.000,74.400,-
'58:02:11.536',-,-,0.000,0.000,73.600,-
'58:02:11.544',-,-,0.000,0.000,72.800,-
'58:02:11.552',-,-,-0.088,0.000,72.000,-
'58:02:11.560',-,-,0.000,0.000,72.000,-
'58:02:11.568',-,-,0.000,0.000,72.000,-
'58:02:11.576',-,-,0.000,0.000,72.800,-
'58:02:11.584',-,-,0.000,0.000,73.600,-
'58:02:11.592',-,-,0.000,-0.079,74.400,-
'58:02:11.600',-,-,-0.088,0.000,75.200,-
'58:02:11.608',-,-,0.000,0.000,76.000,-
'58:02:11.616',-,-,0.000,0.000,76.800,-
'58:02:11.624',-,-,0.000,0.000,77.600,-
'58:02:11.632',-,-,0.000,0.000,78.400,-
'58:02:11.640',-,-,0.000,0.000,79.200,-
'58:02:11.648',-,-,0.000,0.000,79.200,-
'58:02:11.656',-,-,-0.176,-0.246,79.200,-
'58:02:11.664',-,-,-0.901,-0.912,79.200,-
'58:02:11.672',-,-,-1.538,-1.579,79.200,-
'58:02:11.680',-,-,-2.088,-2.167,78.400,-
'58:02:11.688',-,-,-1.813,-2.246,77.600,-
'58:02:11.696',-,-,-1.363,-1.667,77.600,-
'58:02:11.704',-,-,-1.000,-1.333,76.800,-
'58:02:11.712',-,-,-0.901,-1.079,75.200,-
'58:02:11.720',-,-,-0.626,-0.833,74.400,-
'58:02:11.728',-,-,-0.451,-0.667,73.600,-
'58:02:11.736',-,-,-0.264,-0.412,72.800,-
'58:02:11.744',-,-,-0.176,-0.333,72.000,-
'58:02:11.752',-,-,0.000,-0.167,70.400,-
'58:02:11.760',-,-,0.176,0.000,69.600,-
'58:02:11.768',-,-,0.176,0.000,68.800,-
'58:02:11.776',-,-,0.363,0.167,68.000,-
'58:02:11.784',-,-,0.363,0.246,67.200,-
'58:02:11.792',-,-,0.451,0.333,66.400,-
'58:02:11.800',-,-,0.538,0.412,66.400,-
'58:02:11.808',-,-,0.538,0.500,65.600,-
'58:02:11.816',-,-,0.538,0.500,64.800,-
'58:02:11.824',-,-,0.626,0.500,64.800,-
'58:02:11.832',-,-,0.538,0.500,64.800,-
'58:02:11.840',-,-,0.626,0.500,64.000,-
'58:02:11.848',-,-,0.626,0.500,64.000,-
'58:02:11.856',-,-,0.725,0.500,64.800,-
'58:02:11.864',-,-,0.626,0.500,66.400,-
'58:02:11.872',-,-,0.725,0.500,68.800,-
'58:02:11.880',-,-,0.626,0.500,72.800,-
'58:02:11.888',-,-,0.538,0.500,76.800,-
'58:02:11.896',-,-,0.626,0.500,81.600,-
'58:02:11.904',-,-,0.538,0.500,86.400,-
'58:02:11.912',-,-,0.626,0.500,92.000,-
'58:02:11.920',-,-,0.538,0.412,96.800,-
'58:02:11.928',-,-,0.451,0.333,100.800,-
'58:02:11.936',-,-,0.363,0.333,104.800,-
'58:02:11.944',-,-,0.363,0.246,107.200,-
'58:02:11.952',-,-,0.264,0.167,109.600,-
'58:02:11.960',-,-,0.176,0.167,111.200,-
'58:02:11.968',-,-,0.176,0.079,112.000,-
'58:02:11.976',-,-,0.088,0.000,111.200,-
'58:02:11.984',-,-,0.000,0.000,110.400,-
'58:02:11.992',-,-,0.000,0.000,108.800,-
'58:02:12.000',-,-,0.000,0.000,106.400,-
'58:02:12.008',-,-,0.000,0.000,104.000,-
'58:02:12.016',-,-,0.000,0.000,101.600,-
'58:02:12.024',-,-,0.000,0.000,98.400,-
'58:02:12.032',-,-,0.000,-0.079,95.200,-
'58:02:12.040',-,-,0.000,0.000,92.000,-
'58:02:12.048',-,-,0.000,0.000,88.800,-
'58:02:12.056',-,-,0.000,0.000,86.400,-
'58:02:12.064',-,-,0.000,0.000,83.200,-
'58:02:12.072',-,-,0.000,-0.079,80.000,-
'58:02:12.080',-,-,0.000,-0.167,77.600,-
'58:02:12.088',-,-,0.000,-0.167,75.200,-
'58:02:12.096',-,-,0.000,-0.167,72.800,-
'58:02:12.104',-,-,0.000,-0.167,71.200,-
'58:02:12.112',-,-,0.000,-0.167,69.600,-
'58:02:12.120',-,-,0.000,-0.167,68.000,-
'58:02:12.128',-,-,0.000,-0.167,68.000,-
'58:02:12.136',-,-,-0.088,-0.167,67.200,-
'58:02:12.144',-,-,0.000,-0.167,67.200,-
'58:02:12.152',-,-,-0.088,-0.167,67.200,-
'58:02:12.160',-,-,0.000,-0.167,68.000,-
'58:02:12.168',-,-,0.000,-0.167,68.800,-
'58:02:12.176',-,-,0.000,-0.167,69.600,-
'58:02:12.184',-,-,0.000,-0.167,70.400,-
'58:02:12.192',-,-,0.000,-0.167,71.200,-
'58:02:12.200',-,-,0.000,-0.167,72.000,-
'58:02:12.208',-,-,0.000,-0.079,72.800,-
'58:02:12.216',-,-,0.000,-0.167,72.800,-
'58:02:12.224',-,-,0.000,0.000,73.600,-
'58:02:12.232',-,-,-0.363,-0.412,73.600,-
'58:02:12.240',-,-,-1.000,-1.079,74.400,-
'58:02:12.248',-,-,-1.626,-1.833,74.400,-
'58:02:12.256',-,-,-1.901,-2.246,74.400,-
'58:02:12.264',-,-,-2.000,-2.000,73.600,-
'58:02:12.272',-,-,-1.176,-1.579,73.600,-
'58:02:12.280',-,-,-1.000,-1.333,72.800,-
'58:02:12.288',-,-,-0.813,-1.079,72.000,-
'58:02:12.296',-,-,-0.626,-0.833,72.000,-
'58:02:12.304',-,-,-0.363,-0.579,71.200,-
'58:02:12.312',-,-,-0.176,-0.412,70.400,-
'58:02:12.320',-,-,0.000,-0.246,69.600,-
'58:02:12.328',-,-,0.000,-0.167,68.800,-
'58:02:12.336',-,-,0.176,0.000,68.000,-
'58:02:12.344',-,-,0.176,0.079,68.000,-
'58:02:12.352',-,-,0.363,0.167,67.200,-
'58:02:12.360',-,-,0.363,0.246,67.200,-
'58:02:12.368',-,-,0.451,0.333,66.400,-
'58:02:12.376',-,-,0.538,0.412,66.400,-
'58:02:12.384',-,-,0.538,0.500,66.400,-
'58:02:12.392',-,-,0.538,0.500,65.600,-
'58:02:12.400',-,-,0.538,0.500,65.600,-
'58:02:12.408',-,-,0.538,0.500,65.600,-
'58:02:12.416',-,-,0.451,0.500,65.600,-
'58:02:12.424',-,-,0.538,0.579,65.600,-
'58:02:12.432',-,-,0.538,0.500,67.200,-
'58:02:12.440',-,-,0.538,0.579,69.600,-
'58:02:12.448',-,-,0.538,0.579,72.800,-
'58:02:12.456',-,-,0.538,0.579,76.800,-
'58:02:12.464',-,-,0.538,0.500,81.600,-
'58:02:12.472',-,-,0.538,0.500,87.200,-
'58:02:12.480',-,-,0.451,0.500,92.000,-
'58:02:12.488',-,-,0.538,0.500,96.800,-
