'Elapsed time','II','V','ABP'
'79:48:57.488',-0.988,-0.765,-
'79:48:57.496',-0.988,-0.765,-
'79:48:57.504',-2.988,-2.318,-
'79:48:57.512',-2.988,-2.318,-
'79:48:57.520',-2.988,-2.318,-
'79:48:57.528',-2.988,-2.318,-
'79:48:57.536',-0.988,-0.765,-
'79:48:57.544',-0.988,-0.765,-
'79:48:57.552',-0.988,-0.765,-
'79:48:57.560',-0.988,-0.765,-
'79:48:57.568',-2.988,-2.318,-
'79:48:57.576',-2.988,-2.318,-
'79:48:57.584',-2.988,-2.318,-
'79:48:57.592',-2.988,-2.318,-
'79:48:57.600',-0.988,-0.765,-
'79:48:57.608',-0.988,-0.765,-
'79:48:57.616',-0.988,-0.765,-
'79:48:57.624',-0.988,-0.765,-
'79:48:57.632',-2.988,-2.318,-
'79:48:57.640',-2.988,-2.318,-
'79:48:57.648',-2.988,-2.318,-
'79:48:57.656',-2.988,-2.318,-
'79:48:57.664',-0.988,-0.765,-
'79:48:57.672',-0.988,-0.765,-
'79:48:57.680',-0.988,-0.765,-
'79:48:57.688',-0.988,-0.765,-
'79:48:57.696',-2.988,-2.318,-
'79:48:57.704',-2.988,-2.318,-
'79:48:57.712',-2.988,-2.318,-
'79:48:57.720',-2.988,-2.318,-
'79:48:57.728',-0.988,-0.765,-
'79:48:57.736',-0.988,-0.765,-
'79:48:57.744',-0.988,-0.765,-
'79:48:57.752',-0.988,-0.765,-
'79:48:57.760',-2.988,-2.318,-
'79:48:57.768',-2.988,-2.318,-
'79:48:57.776',-2.988,-2.318,-
'79:48:57.784',-2.988,-2.318,-
'79:48:57.792',-0.988,-0.765,-
'79:48:57.800',-0.988,-0.765,-
'79:48:57.808',-0.988,-0.765,-
'79:48:57.816',-0.988,-0.765,-
'79:48:57.824',-2.988,-2.318,-
'79:48:57.832',-2.988,-2.318,-
'79:48:57.840',-2.988,-2.318,-
'79:48:57.848',-2.988,-2.318,-
'79:48:57.856',-0.988,-0.765,-
'79:48:57.864',-0.988,-0.765,-
'79:48:57.872',-0.988,-0.765,-
'79:48:57.880',-0.988,-0.765,-
'79:48:57.888',-2.988,-2.318,-
'79:48:57.896',-2.988,-2.318,-
'79:48:57.904',-2.988,-2.318,-
'79:48:57.912',-2.988,-2.318,-
'79:48:57.920',-0.988,-0.765,-
'79:48:57.928',0.988,0.765,-
'79:48:57.936',0.988,0.765,-
'79:48:57.944',0.988,0.765,-
'79:48:57.952',-0.988,-0.765,-
'79:48:57.960',-0.988,-0.765,-
'79:48:57.968',-0.988,-0.765,-
'79:48:57.976',-0.988,-0.765,-
'79:48:57.984',0.988,0.765,-
'79:48:57.992',0.988,0.765,-
'79:48:58.000',0.988,0.765,-
'79:48:58.008',0.988,0.765,-
'79:48:58.016',-0.988,-0.765,-
'79:48:58.024',-0.988,-0.765,-
'79:48:58.032',-0.988,-0.765,-
'79:48:58.040',-0.988,-0.765,-
'79:48:58.048',0.988,0.765,-
'79:48:58.056',0.988,0.765,-
'79:48:58.064',0.988,0.765,-
'79:48:58.072',0.988,0.765,-
'79:48:58.080',-0.988,-0.765,-
'79:48:58.088',-0.988,-0.765,-
'79:48:58.096',-0.988,-0.765,-
'79:48:58.104',-0.988,-0.765,-
'79:48:58.112',0.988,0.765,-
'79:48:58.120',0.988,0.765,-
'79:48:58.128',0.988,0.765,-
'79:48:58.136',0.988,0.765,-
'79:48:58.144',-0.988,-0.765,-
'79:48:58.152',-0.988,-0.765,-
'79:48:58.160',-0.988,-0.765,-
'79:48:58.168',-0.988,-0.765,-
'79:48:58.176',0.988,0.765,-
'79:48:58.184',0.988,0.765,-
'79:48:58.192',0.988,0.765,-
'79:48:58.200',0.988,0.765,-
'79:48:58.208',-0.988,-0.765,-
'79:48:58.216',-0.988,-0.765,-
'79:48:58.224',-0.988,-0.765,-
'79:48:58.232',-0.988,-0.765,-
'79:48:58.240',0.988,0.765,-
'79:48:58.248',0.988,0.765,-
'79:48:58.256',0.988,0.765,-
'79:48:58.264',0.988,0.765,-
'79:48:58.272',-0.988,-0.765,-
'79:48:58.280',-0.988,-0.765,-
'79:48:58.288',-0.988,-0.765,-
'79:48:58.296',-0.988,-0.765,-
'79:48:58.304',0.988,0.765,-
'79:48:58.312',0.988,0.765,-
'79:48:58.320',0.988,0.765,-
'79:48:58.328',0.988,0.765,-
'79:48:58.336',-0.988,-0.765,-
'79:48:58.344',-0.988,-0.765,-
'79:48:58.352',-0.988,-0.765,-
'79:48:58.360',-0.988,-0.765,-
'79:48:58.368',0.988,0.765,-
'79:48:58.376',0.988,0.765,-
'79:48:58.384',0.988,0.765,-
'79:48:58.392',0.988,0.765,-
'79:48:58.400',-0.988,-0.765,-
'79:48:58.408',-0.988,-0.765,-
'79:48:58.416',-0.988,-0.765,-
'79:48:58.424',-0.988,-0.765,-
'79:48:58.432',0.988,0.765,-
'79:48:58.440',0.988,0.765,-
'79:48:58.448',0.988,0.765,-
'79:48:58.456',0.988,0.765,-
'79:48:58.464',-0.988,-0.765,-
'79:48:58.472',-0.988,-0.765,-
'79:48:58.480',-0.988,-0.765,-
'79:48:58.488',-0.988,-0.765,-
'79:48:58.496',0.988,0.765,-
'79:48:58.504',0.988,0.765,-
'79:48:58.512',0.988,0.765,-
'79:48:58.520',0.988,0.765,-
'79:48:58.528',-0.988,-0.765,-
'79:48:58.536',-0.988,-0.765,-
'79:48:58.544',-0.988,-0.765,-
'79:48:58.552',-0.988,-0.765,-
'79:48:58.560',0.988,0.765,-
'79:48:58.568',0.988,0.765,-
'79:48:58.576',0.988,0.765,-
'79:48:58.584',0.988,0.765,-
'79:48:58.592',-0.988,-0.765,-
'79:48:58.600',-0.988,-0.765,-
'79:48:58.608',-0.988,-0.765,-
'79:48:58.616',-0.988,-0.765,-
'79:48:58.624',0.988,0.765,-
'79:48:58.632',0.988,0.765,-
'79:48:58.640',0.988,0.765,-
'79:48:58.648',0.988,0.765,-
'79:48:58.656',-0.988,-0.765,-
'79:48:58.664',-0.988,-0.765,-
'79:48:58.672',-0.988,-0.765,-
'79:48:58.680',-0.988,-0.765,-
'79:48:58.688',0.988,0.765,-
'79:48:58.696',0.988,0.765,-
'79:48:58.704',0.988,0.765,-
'79:48:58.712',0.988,0.765,-
'79:48:58.720',-0.988,-0.765,-
'79:48:58.728',-0.988,-0.765,-
'79:48:58.736',-0.988,-0.765,-
'79:48:58.744',-0.988,-0.765,-
'79:48:58.752',0.988,0.765,-
'79:48:58.760',0.988,0.765,-
'79:48:58.768',0.988,0.765,-
'79:48:58.776',0.988,0.765,-
'79:48:58.784',-0.988,-0.765,-
'79:48:58.792',-0.988,-0.765,-
'79:48:58.800',-0.988,-0.765,-
'79:48:58.808',-0.988,-0.765,-
'79:48:58.816',0.988,0.765,-
'79:48:58.824',0.988,0.765,-
'79:48:58.832',0.988,0.765,-
'79:48:58.840',0.988,0.765,-
'79:48:58.848',-0.988,-0.765,-
'79:48:58.856',-0.988,-0.765,-
'79:48:58.864',-0.988,-0.765,-
'79:48:58.872',-0.988,-0.765,-
'79:48:58.880',0.988,0.765,-
'79:48:58.888',0.988,0.765,-
'79:48:58.896',0.988,0.765,-
'79:48:58.904',0.988,0.765,-
'79:48:58.912',-0.988,-0.765,-
'79:48:58.920',-0.988,-0.765,-
'79:48:58.928',-0.988,-0.765,-
'79:48:58.936',-0.988,-0.765,-
'79:48:58.944',0.988,0.765,-
'79:48:58.952',0.988,0.765,-
'79:48:58.960',0.988,0.765,-
'79:48:58.968',0.988,0.765,-
'79:48:58.976',-0.988,-0.765,-
'79:48:58.984',-0.988,-0.765,-
'79:48:58.992',-0.988,-0.765,-
'79:48:59.000',-0.988,-0.765,-
'79:48:59.008',0.988,0.765,-
'79:48:59.016',0.988,0.765,-
'79:48:59.024',0.988,0.765,-
'79:48:59.032',0.988,0.765,-
'79:48:59.040',-0.988,-0.765,-
'79:48:59.048',-0.988,-0.765,-
'79:48:59.056',-0.988,-0.765,-
'79:48:59.064',-0.988,-0.765,-
'79:48:59.072',0.988,0.765,-
'79:48:59.080',0.988,0.765,-
'79:48:59.088',0.988,0.765,-
'79:48:59.096',0.988,0.765,-
'79:48:59.104',-0.988,-0.765,-
'79:48:59.112',-0.988,-0.765,-
'79:48:59.120',-0.988,-0.765,-
'79:48:59.128',-0.988,-0.765,-
'79:48:59.136',0.988,0.765,-
'79:48:59.144',0.988,0.765,-
'79:48:59.152',0.988,0.765,-
'79:48:59.160',0.988,0.765,-
'79:48:59.168',-0.988,-0.765,-
'79:48:59.176',-0.988,-0.765,-
'79:48:59.184',-0.988,-0.765,-
'79:48:59.192',-0.988,-0.765,-
'79:48:59.200',0.988,0.765,-
'79:48:59.208',0.988,0.765,-
'79:48:59.216',0.988,0.765,-
'79:48:59.224',0.988,0.765,-
'79:48:59.232',-0.988,-0.765,-
'79:48:59.240',-0.988,-0.765,-
'79:48:59.248',-0.988,-0.765,-
'79:48:59.256',-0.988,-0.765,-
'79:48:59.264',0.988,0.765,-
'79:48:59.272',0.988,0.765,-
'79:48:59.280',0.988,0.765,-
'79:48:59.288',0.988,0.765,-
'79:48:59.296',-0.988,-0.765,-
'79:48:59.304',-0.988,-0.765,-
'79:48:59.312',-0.988,-0.765,-
'79:48:59.320',-0.988,-0.765,-
'79:48:59.328',0.988,0.765,-
'79:48:59.336',0.988,0.765,-
'79:48:59.344',0.988,0.765,-
'79:48:59.352',0.988,0.765,-
'79:48:59.360',-0.988,-0.765,-
'79:48:59.368',-0.988,-0.765,-
'79:48:59.376',-0.988,-0.765,-
'79:48:59.384',-0.988,-0.765,-
'79:48:59.392',0.988,0.765,-
'79:48:59.400',0.988,0.765,-
'79:48:59.408',0.988,0.765,-
'79:48:59.416',0.988,0.765,-
'79:48:59.424',-0.988,-0.765,-
'79:48:59.432',-0.988,-0.765,-
'79:48:59.440',-0.988,-0.765,-
'79:48:59.448',-0.988,-0.765,-
'79:48:59.456',0.988,0.765,-
'79:48:59.464',0.988,0.765,-
'79:48:59.472',0.988,0.765,-
'79:48:59.480',0.988,0.765,-
'79:48:59.488',-0.988,-0.765,-
'79:48:59.496',-0.988,-0.765,-
'79:48:59.504',-0.988,-0.765,-
'79:48:59.512',-0.988,-0.765,-
'79:48:59.520',0.988,0.765,-
'79:48:59.528',0.988,0.765,-
'79:48:59.536',0.988,0.765,-
'79:48:59.544',0.988,0.765,-
'79:48:59.552',-0.988,-0.765,-
'79:48:59.560',-0.988,-0.765,-
'79:48:59.568',-0.988,-0.765,-
'79:48:59.576',-0.988,-0.765,-
'79:48:59.584',0.988,0.765,-
'79:48:59.592',0.988,0.765,-
'79:48:59.600',0.988,0.765,-
'79:48:59.608',0.988,0.765,-
'79:48:59.616',-0.988,-0.765,-
'79:48:59.624',-0.988,-0.765,-
'79:48:59.632',-0.988,-0.765,-
'79:48:59.640',-0.988,-0.765,-
'79:48:59.648',0.988,0.765,-
'79:48:59.656',0.988,0.765,-
'79:48:59.664',0.988,0.765,-
'79:48:59.672',0.988,0.765,-
'79:48:59.680',-0.988,-0.765,-
'79:48:59.688',-0.988,-0.765,-
'79:48:59.696',-0.988,-0.765,-
'79:48:59.704',-0.988,-0.765,-
'79:48:59.712',0.988,0.765,-
'79:48:59.720',0.988,0.765,-
'79:48:59.728',0.988,0.765,-
'79:48:59.736',0.988,0.765,-
'79:48:59.744',-0.988,-0.765,-
'79:48:59.752',-0.988,-0.765,-
'79:48:59.760',-0.988,-0.765,-
'79:48:59.768',-0.988,-0.765,-
'79:48:59.776',0.988,0.765,-
'79:48:59.784',0.988,0.765,-
'79:48:59.792',0.988,0.765,-
'79:48:59.800',0.988,0.765,-
'79:48:59.808',-0.988,-0.765,-
'79:48:59.816',-0.988,-0.765,-
'79:48:59.824',-0.988,-0.765,-
'79:48:59.832',-0.988,-0.765,-
'79:48:59.840',0.988,0.765,-
'79:48:59.848',0.988,0.765,-
'79:48:59.856',0.988,0.765,-
'79:48:59.864',0.988,0.765,-
'79:48:59.872',-0.988,-0.765,-
'79:48:59.880',-0.988,-0.765,-
'79:48:59.888',-0.988,-0.765,-
'79:48:59.896',-0.988,-0.765,-
'79:48:59.904',0.988,0.765,-
'79:48:59.912',0.988,0.765,-
'79:48:59.920',0.988,0.765,-
'79:48:59.928',0.988,0.765,-
'79:48:59.936',-0.988,-0.765,-
'79:48:59.944',-0.988,-0.765,-
'79:48:59.952',-0.988,-0.765,-
'79:48:59.960',-0.988,-0.765,-
'79:48:59.968',0.988,0.765,-
'79:48:59.976',0.988,0.765,-
'79:48:59.984',0.988,0.765,-
'79:48:59.992',0.988,0.765,-
'79:49:00.000',-0.988,-0.765,-
'79:49:00.008',-0.988,-0.765,-
'79:49:00.016',-0.988,-0.765,-
'79:49:00.024',-0.988,-0.765,-
'79:49:00.032',0.988,0.765,-
'79:49:00.040',0.988,0.765,-
'79:49:00.048',0.988,0.765,-
'79:49:00.056',0.988,0.765,-
'79:49:00.064',-0.988,-0.765,-
'79:49:00.072',-0.988,-0.765,-
'79:49:00.080',-0.988,-0.765,-
'79:49:00.088',-0.988,-0.765,-
'79:49:00.096',0.988,0.765,-
'79:49:00.104',0.988,0.765,-
'79:49:00.112',0.988,0.765,-
'79:49:00.120',0.988,0.765,-
'79:49:00.128',-0.988,-0.765,-
'79:49:00.136',-0.988,-0.765,-
'79:49:00.144',-0.988,-0.765,-
'79:49:00.152',-0.988,-0.765,-
'79:49:00.160',0.988,0.765,-
'79:49:00.168',0.988,0.765,-
'79:49:00.176',0.988,0.765,-
'79:49:00.184',0.988,0.765,-
'79:49:00.192',-0.988,-0.765,-
'79:49:00.200',-0.988,-0.765,-
'79:49:00.208',-0.988,-0.765,-
'79:49:00.216',-0.988,-0.765,-
'79:49:00.224',0.988,0.765,-
'79:49:00.232',0.988,0.765,-
'79:49:00.240',0.988,0.765,-
'79:49:00.248',0.988,0.765,-
'79:49:00.256',-0.988,-0.765,-
'79:49:00.264',-0.988,-0.765,-
'79:49:00.272',-0.988,-0.765,-
'79:49:00.280',-0.988,-0.765,-
'79:49:00.288',0.988,0.765,-
'79:49:00.296',0.988,0.765,-
'79:49:00.304',0.988,0.765,-
'79:49:00.312',0.988,0.765,-
'79:49:00.320',-0.988,-0.765,-
'79:49:00.328',-0.988,-0.765,-
'79:49:00.336',-0.988,-0.765,-
'79:49:00.344',-0.988,-0.765,-
'79:49:00.352',0.988,0.765,-
'79:49:00.360',0.988,0.765,-
'79:49:00.368',0.988,0.765,-
'79:49:00.376',0.988,0.765,-
'79:49:00.384',-0.988,-0.765,-
'79:49:00.392',-0.988,-0.765,-
'79:49:00.400',-0.988,-0.765,-
'79:49:00.408',-0.988,-0.765,-
'79:49:00.416',0.988,0.765,-
'79:49:00.424',0.988,0.765,-
'79:49:00.432',0.988,0.765,-
'79:49:00.440',0.988,0.765,-
'79:49:00.448',-0.988,-0.765,-
'79:49:00.456',-0.988,-0.765,-
'79:49:00.464',-0.988,-0.765,-
'79:49:00.472',-0.988,-0.765,-
'79:49:00.480',0.988,0.765,-
'79:49:00.488',0.988,0.765,-
'79:49:00.496',0.988,0.765,-
'79:49:00.504',0.988,0.765,-
'79:49:00.512',-0.988,-0.765,-
'79:49:00.520',-0.988,-0.765,-
'79:49:00.528',-0.988,-0.765,-
'79:49:00.536',-0.988,-0.765,-
'79:49:00.544',0.988,0.765,-
'79:49:00.552',0.988,0.765,-
'79:49:00.560',0.988,0.765,-
'79:49:00.568',0.988,0.765,-
'79:49:00.576',-0.988,-0.765,-
'79:49:00.584',-0.988,-0.765,-
'79:49:00.592',-0.988,-0.765,-
'79:49:00.600',-0.988,-0.765,-
'79:49:00.608',0.988,0.765,-
'79:49:00.616',0.988,0.765,-
'79:49:00.624',0.988,0.765,-
'79:49:00.632',0.988,0.765,-
'79:49:00.640',-0.988,-0.765,-
'79:49:00.648',-0.988,-0.765,-
'79:49:00.656',-0.988,-0.765,-
'79:49:00.664',-0.988,-0.765,-
'79:49:00.672',0.988,0.765,-
'79:49:00.680',0.988,0.765,-
'79:49:00.688',0.988,0.765,-
'79:49:00.696',0.988,0.765,-
'79:49:00.704',-0.988,-0.765,-
'79:49:00.712',-0.988,-0.765,-
'79:49:00.720',-0.988,-0.765,-
'79:49:00.728',-0.988,-0.765,-
'79:49:00.736',0.988,0.765,-
'79:49:00.744',0.988,0.765,-
'79:49:00.752',0.988,0.765,-
'79:49:00.760',0.988,0.765,-
'79:49:00.768',-0.988,-0.765,-
'79:49:00.776',-0.988,-0.765,-
'79:49:00.784',-0.988,-0.765,-
'79:49:00.792',-0.988,-0.765,-
'79:49:00.800',0.988,0.765,-
'79:49:00.808',0.988,0.765,-
'79:49:00.816',0.988,0.765,-
'79:49:00.824',0.988,0.765,-
'79:49:00.832',-0.988,-0.765,-
'79:49:00.840',-0.988,-0.765,-
'79:49:00.848',-0.988,-0.765,-
'79:49:00.856',-0.988,-0.765,-
'79:49:00.864',0.988,0.765,-
'79:49:00.872',0.988,0.765,-
'79:49:00.880',0.988,0.765,-
'79:49:00.888',0.988,0.765,-
'79:49:00.896',-0.988,-0.765,-
'79:49:00.904',-0.988,-0.765,-
'79:49:00.912',-0.988,-0.765,-
'79:49:00.920',-0.988,-0.765,-
'79:49:00.928',-0.988,-0.765,-
'79:49:00.936',-0.988,-0.765,-
'79:49:00.944',-0.988,-0.765,-
'79:49:00.952',-0.988,-0.765,-
'79:49:00.960',-2.988,-2.318,-
'79:49:00.968',-2.988,-2.318,-
'79:49:00.976',-2.988,-2.318,-
'79:49:00.984',-2.988,-2.318,-
'79:49:00.992',-0.988,-0.765,-
'79:49:01.000',-0.988,-0.765,-
'79:49:01.008',-0.988,-0.765,-
'79:49:01.016',-0.988,-0.765,-
'79:49:01.024',-2.988,-2.318,-
'79:49:01.032',-2.988,-2.318,-
'79:49:01.040',-2.988,-2.318,-
'79:49:01.048',-2.988,-2.318,-
'79:49:01.056',-0.988,-0.765,-
'79:49:01.064',-0.988,-0.765,-
'79:49:01.072',-0.988,-0.765,-
'79:49:01.080',-0.988,-0.765,-
'79:49:01.088',-2.988,-2.318,-
'79:49:01.096',-2.988,-2.318,-
'79:49:01.104',-2.988,-2.318,-
'79:49:01.112',-2.988,-2.318,-
'79:49:01.120',-0.988,-0.765,-
'79:49:01.128',-0.988,-0.765,-
'79:49:01.136',-0.988,-0.765,-
'79:49:01.144',-0.988,-0.765,-
'79:49:01.152',-2.988,-2.318,-
'79:49:01.160',-2.988,-2.318,-
'79:49:01.168',-2.988,-2.318,-
'79:49:01.176',-2.988,-2.318,-
'79:49:01.184',-0.988,-0.765,-
'79:49:01.192',-0.988,-0.765,-
'79:49:01.200',-0.988,-0.765,-
'79:49:01.208',-0.988,-0.765,-
'79:49:01.216',-2.988,-2.318,-
'79:49:01.224',-2.988,-2.318,-
'79:49:01.232',-2.988,-2.318,-
'79:49:01.240',-2.988,-2.318,-
'79:49:01.248',-0.988,-0.765,-
'79:49:01.256',-0.988,-0.765,-
'79:49:01.264',-0.988,-0.765,-
'79:49:01.272',-0.988,-0.765,-
'79:49:01.280',-2.988,-2.318,-
'79:49:01.288',-2.988,-2.318,-
'79:49:01.296',-2.988,-2.318,-
'79:49:01.304',-2.988,-2.318,-
'79:49:01.312',-0.988,-0.765,-
'79:49:01.320',-0.988,-0.765,-
'79:49:01.328',-0.988,-0.765,-
'79:49:01.336',-0.988,-0.765,-
'79:49:01.344',-2.988,-2.318,-
'79:49:01.352',-2.988,-2.318,-
'79:49:01.360',-2.988,-2.318,-
'79:49:01.368',-2.988,-2.318,-
'79:49:01.376',-0.988,-0.765,-
'79:49:01.384',-0.988,-0.765,-
'79:49:01.392',-0.988,-0.765,-
'79:49:01.400',-0.988,-0.765,-
'79:49:01.408',-2.988,-2.318,-
'79:49:01.416',-2.988,-2.318,-
'79:49:01.424',-2.988,-2.318,-
'79:49:01.432',-2.988,-2.318,-
'79:49:01.440',-0.988,-0.765,-
'79:49:01.448',-0.988,-0.765,-
'79:49:01.456',-0.988,-0.765,-
'79:49:01.464',-0.988,-0.765,-
'79:49:01.472',-2.988,-2.318,-
'79:49:01.480',-2.988,-2.318,-
'79:49:01.488',-2.988,-2.318,-
'79:49:01.496',-2.988,-2.318,-
'79:49:01.504',-0.988,-0.765,-
'79:49:01.512',-0.988,-0.765,-
'79:49:01.520',-0.988,-0.765,-
'79:49:01.528',-0.988,-0.765,-
'79:49:01.536',-2.988,-2.318,-
'79:49:01.544',-2.988,-2.318,-
'79:49:01.552',-2.988,-2.318,-
'79:49:01.560',-2.988,-2.318,-
'79:49:01.568',-0.988,-0.765,-
'79:49:01.576',-0.988,-0.765,-
'79:49:01.584',-0.988,-0.765,-
'79:49:01.592',-0.988,-0.765,-
'79:49:01.600',-2.988,-2.318,-
'79:49:01.608',-2.988,-2.318,-
'79:49:01.616',-2.988,-2.318,-
'79:49:01.624',-2.988,-2.318,-
'79:49:01.632',-0.988,-0.765,-
'79:49:01.640',-0.988,-0.765,-
'79:49:01.648',-0.988,-0.765,-
'79:49:01.656',-0.988,-0.765,-
'79:49:01.664',-2.988,-2.318,-
'79:49:01.672',-2.988,-2.318,-
'79:49:01.680',-2.988,-2.318,-
'79:49:01.688',-2.988,-2.318,-
'79:49:01.696',-0.988,-0.765,-
'79:49:01.704',-0.988,-0.765,-
'79:49:01.712',-0.988,-0.765,-
'79:49:01.720',-0.988,-0.765,-
'79:49:01.728',-2.988,-2.318,-
'79:49:01.736',-2.988,-2.318,-
'79:49:01.744',-2.988,-2.318,-
'79:49:01.752',-2.988,-2.318,-
'79:49:01.760',-0.988,-0.765,-
'79:49:01.768',-0.988,-0.765,-
'79:49:01.776',-0.988,-0.765,-
'79:49:01.784',-0.988,-0.765,-
'79:49:01.792',-2.988,-2.318,-
'79:49:01.800',-2.988,-2.318,-
'79:49:01.808',-2.988,-2.318,-
'79:49:01.816',-2.988,-2.318,-
'79:49:01.824',-0.988,-0.765,-
'79:49:01.832',-0.988,-0.765,-
'79:49:01.840',-0.988,-0.765,-
'79:49:01.848',-0.988,-0.765,-
'79:49:01.856',-2.988,-2.318,-
'79:49:01.864',-2.988,-2.318,-
'79:49:01.872',-2.988,-2.318,-
'79:49:01.880',-2.988,-2.318,-
'79:49:01.888',-0.988,-0.765,-
'79:49:01.896',-0.988,-0.765,-
'79:49:01.904',-0.988,-0.765,-
'79:49:01.912',-0.988,-0.765,-
'79:49:01.920',-2.988,-2.318,-
'79:49:01.928',-2.988,-2.318,-
'79:49:01.936',-2.988,-2.318,-
'79:49:01.944',-2.988,-2.318,-
'79:49:01.952',-0.988,-0.765,-
'79:49:01.960',-0.988,-0.765,-
'79:49:01.968',-0.988,-0.765,-
'79:49:01.976',-0.988,-0.765,-
'79:49:01.984',-2.988,-2.318,-
'79:49:01.992',-2.988,-2.318,-
'79:49:02.000',-2.988,-2.318,-
'79:49:02.008',-2.988,-2.318,-
'79:49:02.016',-0.988,-0.765,-
'79:49:02.024',-0.988,-0.765,-
'79:49:02.032',-0.988,-0.765,-
